Titles,content
Monsoon Diaries : Steel tumblers and tea in steel tumblers,"I can drink tea directly from the steel tumbler at home - the smaller one with the steel handle - only when Ihave prepared it. Because with Amma's tea there's enough only for 4 modest-sizedglasses (or 5 or 6, based on how many of us are missing from home), no more. And why would you drink from a tumbler if your glass had as much (tea) to offer? Unless you didn't want to bother washing that extra glass.

We also have in our kitchen the steel tumbler with the steel handle in a bigger size, it lets me pretend Im chaya-adikaling (beating tea?) over the kitchen sink that temporarily functions as a spillover tank for the tea I send flying all over. Usually little, if any, is left by the time Im done performing the rhythmic beating (adikal).

A scaled-downdemonstration ofbeating tea. When you really perform the act, it should look something like this :Beating tea/Chaya adikaling (to scale) for people who haven't witnessed the sorcery.Im a bad witch, I guess. Also a bad translator.

I specifically mentioned the steel handle of the steel tumblers because we also have in our kitchen a steel tumbler about the same size with a black plastic handle that we take kanjivellam (rice water), and occasionally tendercoconut water in. We dont use it for much else, it lays abandoned in an unwieldy corner of the kitchen until somebody falls sick. And then all of a sudden it is everywhere you look.
(Kanjivellam has been claimed by Malayali Achans and Ammas and Ammummas and Appoopans to have high nutritious quality. Some go as far as assigning analgesic, antiseptic and antibiotic properties to the magical drink).

Since the arrival of June, the steel tumbler for kanjivellam with the plastic handle has taken over my home.

&nbsp;



Evenings are for tea.
Mornings are also for tea but morning chayawould be Amma's monopoly.
I like to be generous with tea, both for myself and others. It helps that Im bad at discerning proportions, unlike my mother. There is not too much difference in our processes, only in our products.

Ammas chaya (served in glasses) :

1. Pour enough water in the vessel for 4/5/6 people
2. When it boils, add enough Kannan DevanTea powder akachayappodi
3. Add enough boiled milk followed by enough sugar

Define enough? Quite ambiguous yet not exactly uncertain, rather open to interpretation. Are we doing modern art?
Enough is enough!

My chaya (served in glasses and a tumbler):

1. Pour water in the vessel. Take some out if I think its waay too much but otherwise I do not meddle. Like I said, Im generous. Alittle too much water = a little too much tea. And that never hurt anybody. No?

2. Add tea powder when the water boils - enough chayappodito color all the liquid, doesnt matter what shade as long as it appears brown. (If not, you probably shoved in the wrong condiment. Throw out the water discreetly and start over).

3. Add milk - how much ever is left in the paal paathram (also did I mention Im generous).

4. Time for more tea powder because you knew that was waay too much milk before I even added it.
Yes indeed, waay too much is Amma's daughter's catchword.
Definewaaytoo much? That's cute, you'll know.

5. Sugar, usually followed by some more tea powder. More sugar. What? Be generous.

And there you have it. The path to attaining high BP. But that never killed anybody. No?

&nbsp;"
Dear UPSC -,"From UPSC Prelims Paper - 2017
When you read Statement No. 3 and wonder :

	Was that sarcasm?
	Or maybe it's UPSC's way of presenting to students a light-hearted moment in the middle of a stressful test?
	WAAAAIT, is this a tactic to screen for anti/nationalist tendencies? If so, screen in or out? Omg, has the day come?

Answer is option (a), good to know that was uncalled for. Or maybe it's a screening out process :D

For those who want to know how my test went, maybe I'll write about it in another post. One exam joke is quite enough for a day. Here's the full paper -

Civil Services Preliminary Paper 1 (General Studies) - 2017"
So much fun,"
It's most untrue that Ihave no chill.
In fact I'm probably the most fun person you ever met -
when provided with fair warning.
(Well in advance would be great.)
"
I was middle class before being middle class was cool,"I lived a major part of my life thinking were a poor family. It started when I was really young, like 5 or 6, was confirmed by the time I was 7 or 8, and stayed until I was done with my 10th (15 years). By poor I dont mean unable to afford meals, but more like we have the bare minimum and nothing more. Of course we werent anywhere close to rich, but I was young and I didnt know there existed such a thing called middle class.

Yes we were middle class before being middle class was cool.

(Although I thought we were just poor).

I mean wed lived in staff quarters since I was born (Engineering quarters till I was 4 and then Medical college quarters), I never owned more than 5 presentable (to non- relatives) clothes at a time, 4 cousins shared one double bed during summer vacations. That might be enough for a regular child but me being the self-centred kid I was, it was the more personal stuff that convinced me we were poor.

My parents were of the opinion that Manichechi (my aunt) already spoiled me by buying everything I wanted so they were under no obligation to make matters worse.

For starters, I never got any dolls from my parents  Barbie or otherwise  the fact that I never wanted any doesnt matter. All little girls need dolls, okay? Buy your own daughter some dolls, for my sake. And when they paint monsters on the faces and detach all the limbs like I did is when you stop, knowing that she doesnt deserve any. I also innocently checked under the frock for underwear (there wasnt one), probably wouldve highlighted them as well.

In the evenings, Maami our maid cooked us snacks. On Maggi days, she boiled a single packet of Maggi and apportioned the noodles onto three plates. One packet for three okay?

These were only subtle hints my parents were throwing at me. There were more cruel ones.

I dont think anybody could relate to Swamy (from Malgudi Days of course) more than I could. (Well maybe Achu Annan could). When Swamy prepared the Shopping list for Swamy and had to think hard to make sure those few things he jotted down were the only ones he needed and reflected at how his needs were so little, I must tell you I already knew he was stretching it a bit too far. Of course only to have the list brutally dismissed by his fathers Take whatever you want from my drawer, I dont have money to spend on all this. I was relieved to know there existed other households like mine, if only in books.

The first time I asked my father explicitly for pencils (I dont know why I remember it this way but it was really explicit) he cheerfully replied Oh why didnt you tell me you wanted them and bought me a whole packet of Apsara HB. The next time I decided to cheerfully ask since I had such a considerate father, he asked me what Id done with the bunch he bought me the last time.

You needed to reason for everything. Buying groceries at the Margin Free Market, hed stand in billing queue with the full basket and say Now go grab whatever else you want quick. Pleasantly surprised (it was my first time, how would I know?), I picked up no less than what my tiny arms couldnt carry. My father cross-checked the items and only what I really needed went in, plus 3 kitkats.

Next time on I had to pick things up before he stood in the queue so he could filter out Parus excesses. Trips to Margin Free ended that way, me attempting a critical examination of my own choices (really I was only trying to decide what I could hope to coax him into buying).

We always bought new clothes for Onam and Christmas and Deepavali but it was usually my uncles and aunt who took us shopping so I assumed we probably didnt have much money to spend on that, or whatever grownup reason they had. And we never owned anything fancy at home or to wear.

At British Library we could pick 5 books among the 3 of us from WonderLand kids section (alright 2 since Achu Annan hardly cared about it) and I was under so much pressure to finish reading as many books as possible while we were there so I could take home other books. And I would negotiate with Kannenan, how many do you want to take? 3? Why are you picking THAT it doesnt even look nice - if youre taking 3 today itll be my turn to take 3 the next time. (*scrunches up face* you HATE books, why'd you do that to me Mr.Kannan, why?)

British library taught me I should always space my kids properly.

Also our Medical college quarters was so stuffed with all the furniture. During powercut nights you could hear Lagaan songs playing from Achu Annans Walkman and I would be choreographing my way through all the clutter, dancing wondrously until my toe hit against a stupid tea-pow. Ive learned over the years that no matter how big/small the living room or even the house, my father will find a way to fill it with furniture.

So the time that I was very young I dont know if I thought we were poor as in poor poor (tight), but I knew that our lives had a lot of constraints. Also read : you cant always get what you want, you may almost never get what you want unless your parents are in a good mood, ESPECIALLY if it involves spending money. And I took it upon me to correct them if any friends had the notion that college professors and doctors earn reaally well. (I dont anymore since they revised the Pay scales).

I only realized when I was 15 that I'd vaguely thought of us to be people without money. (Some things you dont realize, theyre solemnly understood, or something like that.) What happened when I was 15? My second brother went to college somewhere poor families probably dont send their kids  no it wasnt somewhere superposh but you dont know how unresourceful I thought we were. You shouldve seen my face when I asked Amma if we could afford it and she replied with a suddenly formal both your parents have been working since before you were born, we should be able to afford education.

I was furious with her for almost a month after for letting me believe we were poor (its still true we didnt have a lot of money) but of course I was happy we werent anymore. Not that we lived any different post-realization.

From time to time I complain to Amma about how I had to compress all my Shopping Lists for Paru just like Swamy did, and how having 3 kids was a bad idea and they shouldve had just me. Well you turned out fine (define fine? :D), she says, now get a good job and you can have kids and raise them the way you want.

She only says that cos I already told her if I ever have kids Ill leave it upto her to raise them.


Also, 2 kids maybe fun but 3 is the best :D"
When Global Warming caught up with  my school project - the Rise of the Dead,"No we didn't really have projects, we had assignments. But they were 'project work' according to the ICSE institution (or was it just my institution?) so yeah we wrote them up in outlined A4 sheets (no you weren't allowed to get them printed) and attached a front-page titled &lt;insert subject&gt; PROJECT.

In 10th class (2009-'10), our Geography project was on Global Warming. Kavya was the only one I knew who wasn't relying on the internet for material. Our Geography teacher had a piece of well-meaning advice herself for the class, ""PLEASE pick up content from sources besides Wikipedia, I don't want 45 projects with the same copy-pasted matter on my table"".

Also read as : Ignore first couple of Google search results, take pains to go beyond the first page, if need be.

After several clicks on &gt;Next, I found myself in that eddyhole of the world wide web with URLs that read handmadeprojectessaysforyourhighschool.com and myawesomespeechthatwonthepulitzer.com - that's right. I was one click away from unlocking the Dark Net.

Luckily I'm the queen of abstention, so I just carried on innocently with my reading without employing parseltongue. I was on a decent essay, even a good one considering the dubious title of the site. But then I came across this one subheading under EFFECTS OF GLOBAL WARMING :

""Eradicated diseases will reappear"" - As permafrost and frozen soil in the Arctic regions thaw, human bodies and animal carcasses will resurface. Hence diseases that may have been wiped off the earth may soon find their way to infect us again.

I thought it was a joke, just the author (probably another teen like myself, I thought) on a lighter note. Of course I didnt go after research backing it I mean I just wanted some unsame copy-paste okay. So I copied the lines in my sheet, all the while wondering if Id be summoned to the staff room to EXPLAIN WHAT MY UNSOLICITED IMAGINATION WAS DOING IN THE PROJECT WORK. I saved the link, just in case.

I also mentioned it to my friends and we had a good laugh ('SO FUNNY right???!!' 'yes so weird...funny sure'). If only I'd been held up for it I couldve forwarded the Current News to the teacher with a dramatic caption (""I told you so""?). But maybe it already was a hardfact then or maybe teachers don't really read the 45 copy-pasted - technically it wasn't even copy-paste per se, it was our sweat and Cello Pinpoint ink - assignments. Makes you wonder why you took the effort to click Next so many times after all. Life is cruel to us nice-people. I was 15, was I supposed to know that by then?

Anyway if you dont read the newspaper like me from 10 months ago, its been happening - what sounds like a spooky SuperNatural plot - the rise of the dead. Anthrax triggered by reindeer carcasses exposed from frost thaw being among the latest incidents. I don't know if it was really happening back in 2010 but I'm pretty stunned.

Full story (from August 2016) here:

Anthrax outbreak triggered by climate change kills boy - The Guardian

&nbsp;"
Hot vs Cold,"Yesterday, we slept with the AC on almost all through the night. It's hot because our room is on the 4th floor right below the terrace.

I turned the AC on a few minutes ago, and it smells weird.

""It's probably pigeon shit""

""Or it's pigeon semen,"" says my roommate.

The couple does indulge in copulation while occupying the top of our window AC. I mean I don't really know if that's it, the two pigeons flutter around and on top of each other quite frantically, and my roommate and I take turns to say ""Dude why can't they find another AC once in a while.""

My only means to confirm is to Youtube 'pigeon sex' but I'd rather just go with it.

Either way, it smells weird.

Winter's cool because you just have to add on layers of clothes until you (think you) are okay to deal with the cold outside. And though you can't get out after a hot bath with no clothes on because you'll freeze in the 2 seconds you take to run for life and turn on your tiny heater, and you can't stop itching your wet skin in hot water because it's too satisfying (it WILL leave marks), at least you can go 3-3.5 months without a wax/shave because all you wear are sweaters and stuff.

You can sleep in bed all day everyday wrapped up in quilts or attend all those Littfests happening. But what good are summers?

Also no mango trees in my PG."
How I Made It To the IAS,"Disclaimer : This is a grossly misleading account of how I, a non-existent guy, made it to a non-existent service. Kindly do not take it to heart or mind or soul. More importantly, do not hunt me down. 

This article is a standalone piece on my path to IAS aka Indian Acronyms Service, a new pseudo- All India Service created and tailored to suit the needs of the present government. If you came here looking for the Indian Administrative Service as Im sure most of you did, I have to tell you this here is THE NEW bomb right now.

Did you really think the catchy acronymic names of government schemes with no-nonsense fullforms grew on trees (GoT)? It is a result of our Pact (Persistent And unprecedented Creative Talent) and Stuff (Sunny Times Under Football &amp; Fun) and Shit (Shit Has no Ixpansion Though), and not putting together random words as many think it to be.

So here goes.

Getting into IAS is a 3 step process, a lot like the all India services, but not really.

STAGE 1 : The Preliminary Test

Although the competition isnt as high as for the Civil Service test, Im sure once this article is out, the number of job applicants will increase by tenfold if not more. The syllabus is pretty much the same which is everything under the sun. This is to ensure that even if somebody (more often than not) mistakes us to be an officer from the Administrative Service, which we usually tend to not rectify, we should be a convincing one at the least.

The exam itself is 50% LUCK, 50% Hardwork and 50% Qualifying Math which Im naturally good at. Id say another 25% part is played by political correctness.

For eg: What is SCAM?

(a) Save Country from Amit shah and Modi
(b) SP, Congress, Akhilesh and Mayawati
(c) Both (a) &amp; (b)
(d) I support Jayalalithaa

Like I mentioned, this is not really an all India service to be apolitical.

I owe a lot of my success to Luck (Look Up online in Case of Konanders). For those that dont know, its an app allowed in the exam hall, accessible only to those who voted Yes when MyGov asked Do you support demonetisation?

STAGE 2 : The Mains exam (written)

Pro-tip: Squeeze in at least one acronym in every sentence possible, the more it annoys the reader the better. Flaunt your creativity, even if you have none.

This is where they test your skills in balanced articulation, neutered criticism, etc (Exemplary Tailwagging to Central policies). Diplomacy here is key (Kickass Excellence in Your test). Okay Ill stop that shit.

STAGE 3 : The Personal Interview

This has to be the toughest stage, what with the mental pressure et al (Every Two minutes At the Loo). Present in my interview board was who I will call MPD or Mere Pyare Deshvasiyon (not in the least cos naming him might get me in trouble)s hologram.

I fainted out of sheer awe at the mere sight of it him.

Would you like some nariyal juice? a behind-the-scenes guy ran to me and asked.

You mean nariyal PAANI, yes please, I croaked. I knew the panel was impressed. Your degree of political correctness has to be breath-taking, even when your own breath has taken off.

So tell us, since you fainted et al, why do you admire MPD?

Because he is a man with a big heart, sir.

Oh you have seen his MRI Scans?

Well what do you think the 56 inch chest houses then? Aloo gobi? Its his BIG heart. Im sorry to say (SOS), but you sound anti-national (ANAL). The rest of the panel turned to him, fuming. I thought my job was done.

Heres my Adhar, and heres my screensaver  it was a cow Gomaatha, I have a Jio Sim and I only use PayTM. Tch tch, sorry we misunderstood.

Well. Back to you. What do you think of Indias demographic dividend and our rising population?

Sir, when the Army officers and BSF jawans are working day and night at Siachen so that the country sleeps peacefully at night, I do believe people should just sleep peacefully at night, instead of contributing their share to the population. It is the least we could do.

Actually, the HR member cut in.

SHIT, I knew there had been a technical glitch. Wasnt Indias population actually stabilizing? Id fallen into their pit.

 you do know that babies can be made during the daytime (DAD)? Well thank god.

Sir, perhaps if we could make a policy to empower moral policing groups in the context of PvtDA, as it already is legalized in case of PDA, thats when India would really shine, and that is how India will become digital.

I knew I was almost there. The cherry on top coming up.

Or we could play the National Anthem in loudspeakers in every locality every few hours, thatll terrify them out of their wits, and beds.

At this, the 56-inch torsoed hologram got up on his legs, and said, YOU. YOU will join my Kitchen Cabinet on Monday.

But sir, I dont have a degree in Political Science, I can hardly cook.

Im sure we can do something about that, said the HR guy. He was already on the phone - Yes its me again, well need another couple of certificates.



Like I said, the interview is a little unconventional, but if you get through, youre a quasi-public servant/IAS officer. You also get a Jio subscription for lifetime complementary.

I soon got married to a rich businessmans daughter on account of my job title *wink*. She almost kicked me out when she found what the A stood for. Her mother was about to hurl at me my beloved miniature figurine of UN-adjudged The Most Charming PM in The World (kuch bhi) when I remembered and yelled, The car! I still get the car! With the red beacon!

OH! Well why didnt you say so in the first place, son? Come on in, my mother-in-law beckoned.

Indian parents.

&nbsp;

PS : This was written after I learnt what PRASAD stands for. I mean seriously."
But who misses home?,"Do evenings still make you miss home, they ask.

Pfft no not any more that was almost a year ago when Id just left Trivandrum.

It was New Year and we were supposed to celebrate. I knew we were supposed to cos the reading room had remained shut. So the 60-odd souls, some unbespectacled (like me from the good ol days), mostly with specs and clothes worn straight for a week were made to dig up their roots growing from beneath their seats where they sit eating up WiFi all day and night, getting up only to attend calls and natures calls.

The reading room basically shoves its occupants out once in a while viz. Holi, Christmas, etc and thats how we know that its been a month or two or a year even. Well, two in some cases.

Since we were supposed to celebrate, I stayed in my room, ordered food and chomp-chomped watching Julia Roberts eating (well something between that and sucking in but isnt that how many of us slurp it) spaghetti off her Italian plate, Katut sermons in tropical and sweaty Bali, When You Say Nothing At All in the middle of a park and singing Forever and Ever at rehearsal dinner table at the Best Friends Wedding.

I slept off somewhere in the middle.

When I woke up, it was dark and raining. Outside the window, there were lights and honking from rain-induced traffic below.

The tall curtains were only half-drawn and there was an army of headlights at the signal. Orange streetlamps bathed the building in front of mine from under, a pigeon was perched on its roof against the deep maroon sky, or was it?

Slanting slivers of rain hugged at my panes and more kept beating against, drowning everything else with them.

And I had that really strange/lonely/confused/clueless feeling when you wake up after an evening nap, and the first question when you open your eyes and scan the darkness around is (always), Am I in Hogwarts? Gryffindor Living Room? We must be on our Hogsmeade trip, I probably slept off. And finally to find out what gingerbeer tastes like. Where are the others though?

Then you come to your senses that it isnt Hogwarts. You never caught the train, never got the letter, you missed the feasts and the Sorting Hat and the Quidditch and Fred n George and everything else JK Rowling had promised. This is when it's worst, when you feel like you missed the last 10 years of your life in ignorant sleep, when you are reminded that Hogwarts was a big big joke on you, and even if it wasnt a joke, youre 22 now. So again, jokes on you.

In these deep situations, I usually decide I'll make do with chaya if not gingerbeer. So I call for Amma.

Except this time, there was no chaya either. So I was just sitting on my bed, staring at the window not least because it was an inconsequential Jan 1 - it always is - but because it was evening. Alone.

Achan Amma were probably watching the 7pm news in our living room now, an old habit that stuck on from the days of Doordarshan. He would have attended the JanaMaitri meeting in the evening and she would now have lit the lamp and he would have shut all the windows to keep out mosquitoes, and they wouldve settled in front of the TV after tea.

Usually, it used to be Achan Amma and me on weekends. Usually, we would eat the stew I had cooked after extracting the three thengapaal's (coconut milk) watching Om Shanthi Oshana at 5 pm (Asianet played that a lot).

Oh look who else wears shorts at home like paru, she says.

At least she doesnt look homeless, says he, every time. Oh pinne's(Yeah right's) would surface. It happened so often itis almost a ritual.

Do evenings still remind me of home?
Some days, especially New Year's, I think.

But what's life without a little missing?"
Meeting Him,"I had decided when I was pretty young

I knew what to ask Him for when I got my wishes

If ever.

Id ask for a cupboard full of Apsara Extra Dark pencils

Pearl-white Faber Castell erasers and a thick coloring book and paints

Id ask for a nice badminton racket for myself

That I wouldnt share

And dirtier bruise-ier knees a testimony to my outdoor affair.

Multicolored hairbuns and satin ribbons

Straight long hair my parents couldnt bob again,

And a new pair of white socks for school everyday.

Then Id ask

Why he didnt let some of His kids sleep sound at night.

Why I was young but never blind

Why only some ever woke up with swollen eyes -

So maybe a lesson or two on naivety complementary

For the not so lucky, never so nave.

&nbsp;

&nbsp;"
a visit home,"This author is not a blogger or an SEO-driven pseudowriter. He is a poet :) Do go through his page if you like this one, it's a lifetime of imagery brought to life."
Shopping with Shoplifters,"Self-explanatory featured images/titles ruin blogs.


I was at EasyDay today - the store I visit only when I cannot find stuff on BigBasket/ZopNow/at the corner shop that sells Parachute Oil and JimJam cream biscuits, because the queue at their counter kills the last bit of shopping glee. I am not a shopaholic - every time I come across something, I tend to check my bag's compartment into which I've shoved all my notes and coins, my Maestro &amp; metro cards, my Apollo Pharmacy card and Pious Achan's visiting card, subtracting and summing prices in my tiny brain that slowly shuts down as it plays toils with numbers.

I sift through every shelf, spending a significant amount of time on the Bathing Bars rack to read and compare the prices, making economic decisions and reveling in the grownup-ness of it. I've been doing this since I was in Class 12 and I'm not yet sure if there's anything grownupy about it or maybe I just like reading labels.

Especially creative one-liners like 'Enjoy the biscuity flavor of this biscuit.'

I whiff at every offer, every Save Rs.5/Buy 1 Get 1 Free, before picking my Laundry Freshener and Shower Gel and Toothpaste and Real/Tropicana and Sugar, because you can't compromise on other stuff in the grocery list.

So I was near the toothbrush rack when I noticed that a couple next to me had been fiddling withsome thing for sometime, considerable whisper exchanges and giggles included. I glanced to see it was condoms. Perhaps they were uncomfortable in a stranger's presence, who was most certainly only concerned about the 14 rupees she'd be saving by picking a Colgate toothbrush instead of Sensodyne and not with the flavor of the condom they were choosing, but how'd they know that?

Being the considerate co-shopper, I slowly shifted to the Shampoo and Conditioners rack and spent quality time with the tubes and bottles (I'm a very engrossed kinda person, don't ask me to do things for fun or to wait until a condom-picking couple leaves, I'll end up doing it seriously), making my way through NEW YEAR BONANZA OFFERS.

Which is when the girl shuffled, and into her jeans' tight front pocket (the struggle is real) she squeezed what looked like tiny condom sachets and brisked out of the shop, the guy following closely after.

After mindboggling questions of Why would anybody steal condoms which come at like Rs.5 (I'm told, of course), and the more surprising realization ofOH YOU CAN ACTUALLY STEAL STUFF HERE, I went back to my modest economics.

Guilty of not reporting the crime I'd witnessed.

Or maybe it was foreplay. I'll never know.

"
School :D,"(The kid(s) in the pic isn't me - it's Noyna, Jeriya or Miriam, I had bobbed hair until at least 5th standard)

First line - My-name-is-Parvathy Sarat (Roll No. 28), I read out from my English Composition notes Myself page laid out open under my desk. Youll have to write your name, I added in a hushed tone.
Be soft, Sunitha teacher is making her rounds, Noyna (Roll No. 26) hissed, almost giggling.

Seated between the two of us, the ever-compliant and innocent Parvathy (Roll No. 27) was hunched on our request, almost lying on top of her answer sheet now, scribbling Myself away with formidable acumen. Noyna and I exchanged messages (literally) behind her back.

How does she know Myself?

She studied for the Unit Test like we were supposed to, we nervously giggled some more. Ayyo Paru teacher!

Okay next line I - am- 6 -years old.
Edo shhhhhh shes looking.

Being equally weak at English or being new to Class I-C at Holy Angels ISC, or more probably because we came by the same blue Ananthapuri travels, Noyna and I were best friends.
Hers was the first stop in the morning, mine the second. We took turns to sit by the window. Unless wed had a fight  then the person in the mood to Edo sorry first would sacrifice their seat as a token of reignited bestfriendship.

We ate Noynas jamcakes in the evenings that her Ammachi bought her, blush pink and white with a coating of snowy coconut sprinkles. Wed watch sunlight sifting through gaps in clouds and declare God was peeking down at us (I was a staunch believer of God when I was with her). For no particular reason, another bestfriend duo like ourselves was our enemy we decided we were smarter and cooler, and made fun of everything they did (and not very unloudly) between ourselves.

We were innocent and cruel, like kids are.

Life Crisis No. 1 (English Composition No. 2) :

Copy down My Family from the blackboard.

Teacher reads it out for us:

I - have  a  small - family. There  are  dash - members  in - my - family. Fill in the dash with number of members in your family  How many of you have a brother or a sister? Goooood, you write 4 okay?? How many of you are an only child? Goooood, you write 3.

I waited for the Goooood for the 5-member family specimen I represented  it never came. Was it still a small family if there were 5 members? Could I write 5? Mine had never struck me as particularly small anyway.

As the other kids proceeded to copy down the lines, I looked from left to right and front and behind to see if there was anyone clueless as me, making a mental note to confront my parents and my brothers. Jeriya had only one sister. So did Roshni, Parvathy, Meera pretty much everyone I knew.
Then I found Amina with two sisters :D We skipped to the teacher, she laughed and said Yes as we waited with abated breaths.
Phew.

Class II : My Family haunted me again. This time I knew I had a small family.

Class III : Gowris adventures with the 10m long python on the road.Really? Yes, you can ask my sister, she was there too! Of course we believed her, thats what we did  share our own stories and believe each others. Kids don't lie, kids are just creative.

She brought to class the whole kitchen machinery (toy set)  gas stove, cylinder, vessel, and the tiny Sachin/Sehwag figure you got with Horlicks. Under our desk, the whole story played out  as Noyna, Jeriya and I filled the steel vessel with water, Gowri delivered the narration  she was the best. (It's getting late for Sehwag's bath. Lets put water on the stove  see, like I said it doesnt sound as good when I say it :P). Laughter riot and a shouting riot from Deepa teacher ensued.

Class IV :

Group Song for School Day. A flock of frilled frocks. You girls look like angels! (I looked like shit). But surely Angels, with ungrimed and polished black Bata buckle shoes and new white socks pulled up right upto where the fat calves wouldnt let them climb up.

Class V:

Caroline teacher taught us Little Women  in her crisply pressed sarees with stiff pleats. I knew her finger rings and earrings and what sarees she wore them with. On days she didnt, I wondered if shed misplaced them the last time and couldnt find them in the morning rush as her own father called behind her Paalu kudichitt pooo, like mine did in the mornings.

You just had to sit and look into your books, while she read in her great reading voice. It was a story with Christmas presents and bedtime prayers and pudding and drawing pensuls. My life was He-Man on Doordarshan and cricket with neighbours and monsoon mangoes so the new world charm was way too much.

In the afternoon English-II class, we sat in our blue checked pinafores and ties and shirts as the sun threw light onto the open red corridor outside, bent over our tiny texts  some shared, others on their own. And Little Women by Louisa May Alcott would play out. It was about 4 girls whose father was away at some war and her mother kept reminding them over dinner and over prayer how they had to be good girls and how they were looking forward to playing out The Pilgrims Progress when their father returned. I thought of myself as Amy because of my stupid nose, though I knew Id be Jo when I grew up  everyone adored Jo. Though Iknew Jo was actually Caroline teacher, especially when Jo cut her beautiful long hair towards the end to save money for her family (Im sorry for the spoiler) - Caroline teacher was brimming with pride, giving away her little secret. But Jo was the best, so I wasnt going to out her.

At the year end, Roshni, Akhila and I were class toppers, and we were asked to pick any book we liked from the school library. We returned to class, they had Class VI texts with them (headstart or whatever makes sense to 10 year olds). My logic was parents would buy us those anyway, so I picked what looked like a puzzle/games book for kids. As our class teacher skimmed through it and closed it with a grin, I noticed it said Class Zero.

Yes, I think that confirms I had a disturbing childhood.

Sorry for the abrupt ending though, this should've been posted long ago. And a Happy New Year!"
Happy New Year!,"I was trying to click a picture from behind, then the uncle braked his scooter and said, ""Lelo, we are posing, viral kar dena!""

It's a HAPPY NEW YEAR from Mr.Riding Pug! :D "
